kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW,source
KV780,14.8,T-MOTOR 9545B,50,2.1,31.08,293,4260,9.43,NOME_DATASHEET.pdf
KV780,14.8,T-MOTOR 9545B,100,10.3,152.44,918,7350,6.02,NOME_DATASHEET.pdf
