kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW
KV980,11.1,EOLO 1038,-1,1.0,11.1,100.0,3228.0,9.01
KV980,11.1,EOLO 1038,-1,2.1,23.31,200.0,4437.0,8.58
KV980,11.1,EOLO 1038,-1,3.4,37.74,300.0,5375.0,7.95
KV980,11.1,EOLO 1038,-1,4.8,53.28,400.0,6217.0,7.51
KV980,11.1,EOLO 1038,-1,6.3,69.93,500.0,6883.0,7.15
KV980,11.1,EOLO 1038,-1,8.1,89.91,600.0,7546.0,6.67
KV980,11.1,EOLO 1038,-1,10.2,113.22,720.0,8098.0,6.36
KV980,12.5,EOLO 1038,-1,0.9,11.25,100.0,3192.0,8.89
KV980,12.5,EOLO 1038,-1,1.9,23.75,200.0,4403.0,8.42
KV980,12.5,EOLO 1038,-1,3.1,38.75,300.0,5413.0,7.74
KV980,12.5,EOLO 1038,-1,4.3,53.75,400.0,6235.0,7.44
KV980,12.5,EOLO 1038,-1,5.8,72.5,500.0,6886.0,6.9
KV980,12.5,EOLO 1038,-1,7.3,91.25,600.0,7514.0,6.58
KV980,12.5,EOLO 1038,-1,9.0,112.5,700.0,8090.0,6.22
KV980,12.5,EOLO 1038,-1,12.1,151.25,870.0,8886.0,5.75
KV980,14.8,EOLO 1038,-1,0.8,11.84,100.0,3220.0,8.45
KV980,14.8,EOLO 1038,-1,1.7,25.16,200.0,4409.0,7.95
KV980,14.8,EOLO 1038,-1,2.7,39.96,300.0,5403.0,7.51
KV980,14.8,EOLO 1038,-1,3.9,57.72,400.0,6229.0,6.93
KV980,14.8,EOLO 1038,-1,5.1,75.48,500.0,6874.0,6.62
KV980,14.8,EOLO 1038,-1,6.5,96.2,600.0,7519.0,6.24
KV980,14.8,EOLO 1038,-1,8.0,118.4,700.0,8061.0,5.91
KV980,14.8,EOLO 1038,-1,9.6,142.08,800.0,8662.0,5.63
KV980,14.8,EOLO 1038,-1,11.3,167.24,900.0,9193.0,5.38
KV980,14.8,EOLO 1038,-1,13.3,196.84,1000.0,9621.0,5.08
KV980,14.8,EOLO 1038,-1,15.0,222.0,1110.0,10042.0,5.0
KV980,16.8,EOLO 1038,-1,0.7,11.76,100.0,3184.0,8.5
KV980,16.8,EOLO 1038,-1,1.5,25.2,200.0,4406.0,7.94
KV980,16.8,EOLO 1038,-1,2.5,42.0,300.0,5426.0,7.14
KV980,16.8,EOLO 1038,-1,3.5,58.8,400.0,6195.0,6.8
KV980,16.8,EOLO 1038,-1,4.7,78.96,500.0,6813.0,6.33
KV980,16.8,EOLO 1038,-1,6.0,100.8,600.0,7521.0,5.95
KV980,16.8,EOLO 1038,-1,7.3,122.64,700.0,8075.0,5.71
KV980,16.8,EOLO 1038,-1,8.7,146.16,800.0,8657.0,5.47
KV980,16.8,EOLO 1038,-1,10.4,174.72,900.0,9201.0,5.15
KV980,16.8,EOLO 1038,-1,12.1,203.28,1000.0,9627.0,4.92
KV980,16.8,EOLO 1038,-1,16.0,268.8,1200.0,10627.0,4.46
KV980,16.8,EOLO 1038,-1,17.8,299.04,1320.0,11004.0,4.41
KV980,11.1,9450,-1,1.0,11.1,100.0,3001.0,9.01
KV980,11.1,9450,-1,2.1,23.31,200.0,4138.0,8.58
KV980,11.1,9450,-1,3.5,38.85,300.0,5010.0,7.72
KV980,11.1,9450,-1,5.1,56.61,400.0,5794.0,7.07
KV980,11.1,9450,-1,6.9,76.59,500.0,6425.0,6.53
KV980,11.1,9450,-1,8.9,98.79,600.0,7011.0,6.07
KV980,11.1,9450,-1,11.2,124.32,710.0,7693.0,5.71
KV980,12.5,9450,-1,0.9,11.25,100.0,3005.0,8.89
KV980,12.5,9450,-1,2.0,25.0,200.0,4140.0,8.0
KV980,12.5,9450,-1,3.2,40.0,300.0,5011.0,7.5
KV980,12.5,9450,-1,4.7,58.75,400.0,5792.0,6.81
KV980,12.5,9450,-1,6.3,78.75,500.0,6430.0,6.35
KV980,12.5,9450,-1,8.2,102.5,600.0,7014.0,5.85
KV980,12.5,9450,-1,10.1,126.25,700.0,7581.0,5.54
KV980,12.5,9450,-1,13.3,166.25,850.0,8347.0,5.11
KV980,14.8,9450,-1,0.8,11.84,100.0,3009.0,8.45
KV980,14.8,9450,-1,1.7,25.16,200.0,4145.0,7.95
KV980,14.8,9450,-1,2.9,42.92,300.0,5017.0,6.99
KV980,14.8,9450,-1,4.2,62.16,400.0,5798.0,6.44
KV980,14.8,9450,-1,5.6,82.88,500.0,6427.0,6.03
KV980,14.8,9450,-1,7.2,106.56,600.0,7019.0,5.63
KV980,14.8,9450,-1,8.8,130.24,700.0,7584.0,5.37
KV980,14.8,9450,-1,10.8,159.84,800.0,8010.0,5.01
KV980,14.8,9450,-1,12.9,190.92,900.0,8611.0,4.71
KV980,14.8,9450,-1,16.5,244.2,1090.0,9533.0,4.46
