kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW
KV980,16.8,9450,-1,0.7,11.76,100.0,3011.0,8.5
KV980,16.8,9450,-1,1.6,26.88,200.0,4142.0,7.44
KV980,16.8,9450,-1,2.6,43.68,300.0,5016.0,6.87
KV980,16.8,9450,-1,3.8,63.84,400.0,5789.0,6.27
KV980,16.8,9450,-1,5.0,84.0,500.0,6434.0,5.95
KV980,16.8,9450,-1,6.6,110.88,600.0,7013.0,5.41
KV980,16.8,9450,-1,8.1,136.08,700.0,7588.0,5.14
KV980,16.8,9450,-1,9.9,166.32,800.0,8015.0,4.81
KV980,16.8,9450,-1,11.7,196.56,900.0,8616.0,4.58
KV980,16.8,9450,-1,13.8,231.84,1000.0,9052.0,4.31
KV980,16.8,9450,-1,18.1,304.08,1200.0,9947.0,3.95
KV980,16.8,9450,-1,19.7,330.96,1300.0,10370.0,3.93
